Loading repository data...
Reading installed packages...

S | Name                                       | Summary                                                                                              | Type       
--+--------------------------------------------+------------------------------------------------------------------------------------------------------+------------
i | libavcodec55                               | Shared library: ffmpeg/avcodec                                                                       | package    
i | libavutil52                                | Utilities library from ffmpeg                                                                        | package    
i | libdvdcss2                                 | A library designed for accessing encrypted DVDs                                                      | package    
i | libdvdnav4                                 | A DVD Navigation Library                                                                             | package    
i | libdvdread4                                | Library for Reading DVD Video Images                                                                 | package    
i | libfaac0                                   | FAAC Shared library                                                                                  | package    
i | libmp3lame0                                | Shared Library: mp3lame - MP3 Encode                                                                 | package    
i | libopencore-amrnb0                         | OpenCore AMR - Shared Library                                                                        | package    
i | libopencore-amrwb0                         | OpenCore AMR - Shared Library                                                                        | package    
i | libswresample0                             | Shared library: ffmpeg/swresample                                                                    | package    
i | libswscale2                                | SWScale library from ffmpeg                                                                          | package    
i | libvlc5                                    | Shared library libvlc                                                                                | package    
i | libvlccore8                                | Shared library libvlc                                                                                | package    
i | libx264-144                                | X264 Share library, Major Version $144                                                               | package    
i | libxvidcore4                               | XViDCore - XViD Video En- and Decoder                                                                | package    
i | vlc                                        | Video Lan Client multimedia player                                                                   | package    
i | vlc-noX                                    | VLC: VideoLAN Client - without X dependencies                                                        | package    
i | vlc-noX-lang                               | Languages for package vlc                                                                            | package    
i | vlc-qt                                     | VLC: VideoLAN Client - Qt interface                                                                  | package    
i | flash-player                               | Adobe Flash Plugin and Standalone Player                                                             | package    
i | flash-player-kde4                          | Adobe Flash Plugin and Standalone Player Settings                                                    | package    
i | gstreamer-0_10-fluendo-mp3                 | GStreamer plug-in from Fluendo for MP3 support                                                       | package    
i | gstreamer-fluendo-mp3                      | GStreamer plug-in from Fluendo for MP3 support                                                       | package    
i | unrar                                      | A program to extract, test, and view RAR archives                                                    | package    
i | AdobeICCProfiles                           | Adobe ICC Profiles                                                                                   | package    
i | DirectFB                                   | Graphics Library for Framebuffer Devices                                                             | package    
i | DirectFB-Mesa                              | Mesa backend of Graphics Library for Framebuffer Devices                                             | package    
i | ImageMagick                                | Viewer and Converter for Images                                                                      | package    
i | Mesa                                       | System for rendering interactive 3-D graphics                                                        | package    
i | Mesa-libEGL-devel                          | Development files for the EGL API                                                                    | package    
i | Mesa-libEGL1                               | Free implementation of the EGL API                                                                   | package    
i | Mesa-libGL-devel                           | GL/GLX development files of the OpenGL API                                                           | package    
i | Mesa-libGL1                                | The GL/GLX runtime of the Mesa 3D graphics library                                                   | package    
i | Mesa-libGLESv1_CM-devel                    | Development files for the OpenGL ES 1.x API                                                          | package    
i | Mesa-libGLESv1_CM1                         | Free implementation of the OpenGL|ES 1.x Common Profile API                                          | package    
i | Mesa-libGLESv2-2                           | Free implementation of the OpenGL|ES 2.x API                                                         | package    
i | Mesa-libGLESv2-devel                       | Development files for the OpenGL ES 2.x API                                                          | package    
i | Mesa-libglapi0                             | Free implementation of the GL API                                                                    | package    
i | ModemManager                               | DBus interface for modem handling                                                                    | package    
i | MozillaFirefox                             | Mozilla Firefox Web Browser                                                                          | package    
i | MozillaFirefox-branding-openSUSE           | openSUSE branding of MozillaFirefox                                                                  | package    
i | NetworkManager                             | Network Link Manager and User Applications                                                           | package    
i | NetworkManager-openvpn                     | NetworkManager VPN support for OpenVPN                                                               | package    
i | NetworkManager-pptp                        | NetworkManager VPN support for PPTP                                                                  | package    
i | NetworkManager-vpnc                        | NetworkManager VPN Support for vpnc                                                                  | package    
i | PackageKit                                 | Simple software installation management software                                                     | package    
i | PackageKit-backend-zypp                    | Simple software installation management software -- Zypp Backend                                     | package    
i | PackageKit-browser-plugin                  | Simple software installation management software                                                     | package    
i | PackageKit-gstreamer-plugin                | Simple software installation management software                                                     | package    
i | PackageKit-gtk3-module                     | Simple software installation management software                                                     | package    
i | a2ps                                       | Converts ASCII Text into PostScript                                                                  | package    
i | aaa_base                                   | openSUSE Base Package                                                                                | package    
i | aaa_base-extras                            | SUSE Linux Base Package (recommended part)                                                           | package    
i | acl                                        | Commands for Manipulating POSIX Access Control Lists                                                 | package    
i | acpica                                     | This is a set of tools to display and debug your BIOS ACPI tables                                    | package    
i | adjtimex                                   | Kernel time variables configuration utility                                                          | package    
i | akonadi                                    | KDE Resources for PIM Storage Service                                                                | package    
i | akonadi-runtime                            | PIM Storage Service                                                                                  | package    
i | akregator                                  | RSS Feed Reader                                                                                      | package    
i | alsa                                       | Advanced Linux Sound Architecture                                                                    | package    
i | alsa-oss                                   | ALSA-OSS Wrapper                                                                                     | package    
i | alsa-plugins                               | Extra Plug-Ins for the ALSA Library                                                                  | package    
i | alsa-plugins-jack                          | JACK I/O Plug-In for the ALSA Library                                                                | package    
i | alsa-plugins-pulse                         | Pulseaudio Plug-In for the ALSA Library                                                              | package    
i | alsa-utils                                 | Advanced Linux Sound Architecture Utilities                                                          | package    
i | amarok                                     | Media Player for KDE                                                                                 | package    
i | android-tools                              | Android platform tools (adb, fastboot)                                                               | package    
i | apparmor-parser                            | AppArmor userlevel parser utility                                                                    | package    
i | apper                                      | KDE interface for PackageKit                                                                         | package    
i | appmenu-qt                                 | Application Menu for Qt                                                                              | package    
i | ark                                        | KDE Archiver Tool                                                                                    | package    
i | at                                         | A Job Manager                                                                                        | package    
i | at-spi2-atk-common                         | Assistive Technology Service Provider Interface - Common Files for GTK+ Modules                      | package    
i | at-spi2-atk-gtk2                           | Assistive Technology Service Provider Interface - GTK+ 2 Module                                      | package    
i | at-spi2-core                               | Assistive Technology Service Provider Interface - D-Bus based implementation                         | package    
i | attr                                       | Commands for Manipulating Extended Attributes                                                        | package    
i | audit                                      | User Space Tools for 2.6 Kernel Auditing                                                             | package    
i | augeas-lenses                              | Official set of lenses for use by libaugeas0                                                         | package    
i | autofs                                     | A Kernel-Based Automounter                                                                           | package    
i | avahi                                      | D-BUS Service for Zeroconf and Bonjour                                                               | package    
i | avahi-autoipd                              | IPv4LL Service for Zeroconf and Bonjour                                                              | package    
i | baloo-core                                 | Core components for Baloo Framework                                                                  | package    
i | baloo-file                                 | Filesearch components for Baloo Framework                                                            | package    
i | baloo-kioslaves                            | KIO slave components for Baloo Framework                                                             | package    
i | baloo-pim                                  | PIM components for Baloo Framework                                                                   | package    
i | baloo-tools                                | Aditional components for Baloo Framework                                                             | package    
i | bash                                       | The GNU Bourne-Again Shell                                                                           | package    
i | bc                                         | GNU Command Line Calculator                                                                          | package    
i | bigreqsproto-devel                         | The X11 Protocol: Big Requests extension                                                             | package    
i | bind-libs                                  | Shared libraries of BIND                                                                             | package    
i | bind-utils                                 | Utilities to query and test DNS                                                                      | package    
i | binutils                                   | GNU Binutils                                                                                         | package    
i | bluedevil                                  | Bluetooth Manager for KDE                                                                            | package    
i | bluez                                      | Bluetooth Stack for Linux                                                                            | package    
i | bootcycle                                  | Boot Cycle Detection                                                                                 | package    
i | bridge-utils                               | Utilities for Configuring the Linux Ethernet Bridge                                                  | package    
i | btrfsprogs                                 | Utilities for the Btrfs filesystem                                                                   | package    
i | bzip2                                      | A Program for Compressing Files                                                                      | package    
i | cdparanoia-devel                           | Include Files and Libraries Mandatory for Development                                                | package    
i | cdrdao                                     | Write CD-Rs in Disk-At-Once Mode                                                                     | package    
i | cdrkit-cdrtools-compat                     | Tool for Writing CDRs - cdrtools Compatibility Package                                               | package    
i | checkmedia                                 | Check Installation Media                                                                             | package    
i | choqok                                     | Micro-Blogging Client for KDE                                                                        | package    
i | chromium                                   | Google's opens source browser project                                                                | package    
i | chromium-desktop-kde                       | Update to chromium to use KDE's kwallet to store passwords                                           | package    
i | chromium-ffmpegsumo                        | Library to provide ffmpeg support to Chromium                                                        | package    
i | cifs-utils                                 | Utilities for doing and managing mounts of the Linux CIFS filesyste                                  | package    
i | clamz                                      | Command-line tool to download MP3 files from Amazon                                                  | package    
i | cln                                        | Class Library for Numbers (C++)                                                                      | package    
i | compositeproto-devel                       | The X11 Protocol: Composite extension                                                                | package    
i | coreutils                                  | GNU Core Utilities                                                                                   | package    
i | cpio                                       | A Backup and Archiving Utility                                                                       | package    
i | cpp                                        | The system GNU Preprocessor                                                                          | package    
i | cpp48                                      | The GCC Preprocessor                                                                                 | package    
i | cpupower                                   | Tools to determine and set CPU Power related Settings                                                | package    
